INFO | 2018-10-08 12:24:47,048 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/article/edit],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.ArticleController.articleEdit(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,049 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/article/update],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.ArticleController.articleUpdate(javax.servlet.http.HttpServletRequest,java.lang.String,boolean,boolean,java.lang.String,java.lang.Long) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,049 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/article/list],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.ArticleController.articleList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.String,java.lang.String) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,049 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/admin/article],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.ArticleController.getArticle(javax.servlet.http.HttpServletRequest,java.lang.Integer)
INFO | 2018-10-08 12:24:47,049 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/article/save],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.ArticleController.articleSave(javax.servlet.http.HttpServletRequest,java.lang.String,boolean,boolean,java.lang.String,java.lang.Integer) throws java.sql.SQLException
INFO | 2018-10-08 12:24:47,049 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/article/add],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.ArticleController.couponAdd(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,050 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/couponcode/list],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.getCouponCodeList(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.Integer)
INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/export],methods=[GET]}" onto public org.springframework.http.ResponseEntity<byte[]> com.cxgm.controller.CouponController.exportCouponCode(javax.servlet.http.HttpServletRequest)
INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/couponcode],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.getCouponCode(javax.servlet.http.HttpServletRequest,java.lang.Integer,java.lang.Integer)
INFO | 2018-10-08 12:24:47,051 | bootLogin | restartedMain org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped "{[/coupon/update],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.cxgm.controller.CouponController.couponUpdate(javax.servlet.http.HttpServletRequest,java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.math.BigDecimal,java.math.BigDecimal,java.lang.Integer,java.lang.Integer,boolean,java.lang.Long,java.lang.String,java.lang.String,java.lang.Integer,java.lang.Long) throws java.sql.SQLException
